"id","type","is_substitute","constituency","constituency.name"
778,"national",false,,
779,"national",true,,
780,"departmental",false,,"DAKAR"
781,"departmental",true,,"DAKAR"
782,"departmental",false,,"GUEDIAWAYE"
783,"departmental",true,,"GUEDIAWAYE"
784,"departmental",false,,"KEUR MASSAR"
785,"departmental",true,,"KEUR MASSAR"
786,"departmental",false,,"PIKINE"
787,"departmental",true,,"PIKINE"
788,"departmental",false,,"RUFISQUE"
789,"departmental",true,,"RUFISQUE"
790,"departmental",false,,"BAMBEY"
791,"departmental",true,,"BAMBEY"
792,"departmental",false,,"DIOURBEL"
793,"departmental",true,,"DIOURBEL"
794,"departmental",false,,"MBACKE"
795,"departmental",true,,"MBACKE"
796,"departmental",false,,"FATICK"
797,"departmental",true,,"FATICK"
798,"departmental",false,,"FOUNDIOUGNE"
799,"departmental",true,,"FOUNDIOUGNE"
800,"departmental",false,,"GOSSAS"
801,"departmental",true,,"GOSSAS"
802,"departmental",false,,"KAFFRINE"
803,"departmental",true,,"KAFFRINE"
804,"departmental",false,,"KOUNGHEUL"
805,"departmental",true,,"KOUNGHEUL"
806,"departmental",false,,"GUINGUINEO"
807,"departmental",true,,"GUINGUINEO"
808,"departmental",false,,"KAOLACK"
809,"departmental",true,,"KAOLACK"
810,"departmental",false,,"NIORO DU RIP"
811,"departmental",true,,"NIORO DU RIP"
812,"departmental",false,,"KEDOUGOU"
813,"departmental",true,,"KEDOUGOU"
814,"departmental",false,,"SALEMATA"
815,"departmental",true,,"SALEMATA"
816,"departmental",false,,"KOLDA"
817,"departmental",true,,"KOLDA"
818,"departmental",false,,"VELINGARA"
819,"departmental",true,,"VELINGARA"
820,"departmental",false,,"KEBEMER"
821,"departmental",true,,"KEBEMER"
822,"departmental",false,,"LINGUERE"
823,"departmental",true,,"LINGUERE"
824,"departmental",false,,"LOUGA"
825,"departmental",true,,"LOUGA"
826,"departmental",false,,"KANEL"
827,"departmental",true,,"KANEL"
828,"departmental",false,,"RANEROU FERLO"
829,"departmental",true,,"RANEROU FERLO"
830,"departmental",false,,"DAGANA"
831,"departmental",true,,"DAGANA"
832,"departmental",false,,"PODOR"
833,"departmental",true,,"PODOR"
834,"departmental",false,,"SAINT LOUIS"
835,"departmental",true,,"SAINT LOUIS"
836,"departmental",false,,"BOUNKILING"
837,"departmental",true,,"BOUNKILING"
838,"departmental",false,,"BAKEL"
839,"departmental",true,,"BAKEL"
840,"departmental",false,,"TAMBACOUNDA"
841,"departmental",true,,"TAMBACOUNDA"
842,"departmental",false,,"MBOUR"
843,"departmental",true,,"MBOUR"
844,"departmental",false,,"THIES"
845,"departmental",true,,"THIES"
846,"departmental",false,,"TIVAOUANE"
847,"departmental",true,,"TIVAOUANE"
848,"departmental",false,,"BIGNONA"
849,"departmental",true,,"BIGNONA"
850,"departmental",false,,"OUSSOUYE"
851,"departmental",true,,"OUSSOUYE"
852,"departmental",false,,"ZIGUINCHOR"
853,"departmental",true,,"ZIGUINCHOR"
854,"diaspora",false,,"AFRIQUE AUSTRALE"
855,"diaspora",true,,"AFRIQUE AUSTRALE"
856,"diaspora",false,,"AFRIQUE OUEST"
857,"diaspora",true,,"AFRIQUE OUEST"
858,"diaspora",false,,"AFRIQUE NORD"
859,"diaspora",true,,"AFRIQUE NORD"
860,"diaspora",false,,"EUROPE OUEST CENTRE NORD "
861,"diaspora",true,,"EUROPE OUEST CENTRE NORD "
862,"diaspora",false,,"EUROPE DU SUD"
863,"diaspora",true,,"EUROPE DU SUD"
