TITLE,URL
AND LIGUEY SUNU REW,https://www.youtube.com/playlist?list=PLloEwEOG6ocZswDSQTplNcBjfVGngeRSU
SENEGAAL KESE,https://www.youtube.com/playlist?list=PLloEwEOG6ocac4vTrFpTYJhVWURxObYTp
AMM SA GAFAKA-SAMM SA ELLEG ACSIF,https://www.youtube.com/playlist?list=PLloEwEOG6ocY6BUKs9mdymUWt_GJ9OvAV
LES NATIONALISTES JEL LINU MOOM,https://www.youtube.com/playlist?list=PLloEwEOG6ocbPz51uqeKj3H4qtjmIR2O3
PASTEF,https://www.youtube.com/playlist?list=PLloEwEOG6ocYlh5f4G7YdaLhEtwNFxS3h
AND-SUXALI-PRODUCTION-TRANSPORT-AK-COMMMERCE-LAAP-FAL-JIKKO,https://www.youtube.com/playlist?list=PLloEwEOG6ocaH95IHqDfz2LXOwFxogYTt
SECTEUR PRIVE,https://www.youtube.com/playlist?list=PLloEwEOG6ocbCBthGVWR2is0wij8YUA-f
COALITION DIAM AK NJARIN,https://www.youtube.com/playlist?list=PLloEwEOG6ocZb3SXY4jEgPTcRDg8AV-Rv
COALITION SAMM SA KAADU,https://www.youtube.com/playlist?list=PLloEwEOG6ocZ2BxemKBVERlyy8WLKvigc
PARTI BES DU NIAKK,https://www.youtube.com/playlist?list=PLloEwEOG6ocYwMjSFb4ZlrhlZtWB7f5Ed
TAKKU WALLU SENEGAL (TWS),https://www.youtube.com/playlist?list=PLloEwEOG6ocaqcQzfjjy1Tqf6kcM9gJ_3
GRAND RASSEMBLEMENT DES ARTISANS DU SENEGAL,https://www.youtube.com/playlist?list=PLloEwEOG6oca1cJ5JexHudtNPZuqVPIG-
COALITION SOPI SENEGAL,https://www.youtube.com/playlist?list=PLloEwEOG6ocasH__Rw5zWY1KVOobupJgD
